id,time,source,sub_source,writer,link,text,cb_level
 39549935575595933837, 09/10/2016 02:07, TB, WWW.BHOL.CO.IL/ - BHOL - SITE,unkown, http://www.bhol.co.il//109540/הקרב-בשייח-גראח-צפו-בחיסול-המחבל.html, ימח שמם של המסריטים צועקים אלה ואכבר-,3
 19519150495785392438005395456, 10/10/2016 11:12, twitter, twitter, גל זיו - Gal Ziv, http://twitter.com/kobimaklef2015/statuses/785392438005395456, @samiaah10 @news10 ימח שמו,3
 3954968467369517, 30/09/2016 12:14, TB, גלובס online - גלובס SITE, יגאל המלך, http://www.globes.co.il/serve/article_response/show_response.asp?StockView=false&did=1001155300&pdid=1001155300&res=7502986&title=, יימח שמם וזכרם של אוהבי-יימח שמם וזכרם של אוהבי פרס.,3
 3954970511649536, 02/10/2016 10:28, TB, MAKO.CO.IL - MAKO - חדשות, * בני, http://www.mako.co.il/news-military/israel-q4_2016/Article-f7150ace2028751004.htm?sCh=c90c6603e7478110&pId=25483675, 36.  אורלי יימח שמך .אמן.-,3
 19519150495784390603928899584, 07/10/2016 04:51, twitter, twitter, Yosef Trabelsi, http://twitter.com/rabelsi/statuses/784390603928899584, @10elilevi ימח שמו  איזה רוע לאנשים,3
 3954978151309522463, 06/10/2016 08:07, TB, Ynet - חדשות,unkown, http://www.ynet.co.il/articles/0%2c7340%2cL-4863686%2c00.html, בקיצור הפאשיסטים של מרצ-דור-שלום ימח שמם-,3
 119517853254584120171, 09/10/2016 12:48, Instagram, Instagram - koolanookahana, abrahm_weiss, https://www.instagram.com/p/BLVqoqjhRS9, מוות למחבלים ולשמאלנים והתקשורת ימח שמו וזכרם יומת בקרוב ממש,3
 19519150495784656586337820672, 08/10/2016 10:28, twitter, twitter, Tal Ben Yehuda, http://twitter.com/frak001/statuses/784656586337820672, RT @talc23: לכל מי ששואל: אמא שלך זונה  אמא שלך עוזרת ליהודים להרוס ערים של פלשתים ימח שמם. שבת נפלאה ומרגשת,3
 19519150495784654761094250496, 08/10/2016 10:20, twitter, twitter, Tal Cherckez, http://twitter.com/talc23/statuses/784654761094250496, לכל מי ששואל: אמא שלך זונה  אמא שלך עוזרת ליהודים להרוס ערים של פלשתים ימח שמם. שבת נפלאה ומרגשת,3
 19519150495781977099494158338, 01/10/2016 01:00, twitter, twitter, j. hirsch, http://twitter.com/jhirsch99/statuses/781977099494158338, @BillKristol @ChaskelBennett @MichaelRWarren אובמה ימח שמם וזכרם.,3
 19519150495782468202844618752, 02/10/2016 09:32, twitter, twitter, דני, http://twitter.com/daniefrati/statuses/782468202844618752, @amitvrub איפה אתה? לי גרמניה תמיד עושה שיער טוב  יימח שמם,1
 29516662295169681329, 03/10/2016 05:41, forum, fxp-אוהדים בחו''ל - כללי, Xabi Alonso, http://www.fxp.co.il/showthread.php?t=17670723&p=169681329#post169681329, איך ברצלונה  קיבלה 4 מסלטה?-גם כן אלה הפילו לי טופס של 1500 יימח שמם,1
 795z13jgr5g2lvstlidc225zjaygqb0exj0s, 26/09/2016 05:46, Youtube, youtube, Abraham Weiss, https://www.youtube.com/watch?v=flq1z1i8G3Y, מי הזבל הזה תמר זנדברג ימח שמו וזכרם יומת בקרוב ממש,3
 19519150495780611088605995008, 27/09/2016 06:32, twitter, twitter, Abraham Weiss, http://twitter.com/AbrahamWeiss3/statuses/780611088605995008, לך לעזה לדאש להנאצי שמלני ימח שמו וזכרם https://t.co/kpBGGOaiC0,3
3.95497E+14, 28/09/2016 10:02, TB, MAKO.CO.IL - MAKO -צחוק, * אשריקו, http://www.mako.co.il/news-israel/local-q3_2016/Article-794114815417751004.htm?sCh=31750a2610f26110&pId=948912327, 8.  שמעון פרס ימח שמו ושם זכרו צורר היהודים שישרף בגיהנום לעד-,3
 5951432383893640056951775467575998351, 29/09/2016 02:32, facebook, FaceBook - חדשות - השואגים לימין, חדשות השואגים לימין, http://www.facebook.com/permalink.php?story_fbid=1775467575998351&id=1432383893640056, כוחותינו התותחים עצרו את המבוקש וליד באישה ימח שמו  בפשיטה שעשו בביתו בסילוואד שבנפת רמאללה,1
 395497034189952252704, 01/10/2016 12:00, TB, ערוץ 7 - INN SITE, לאה, http://www.inn.co.il/News/News.aspx/331234, נבלות! יימח שמם של האמריקאים הארורים. אובמה הקוף השחור!-,3
 119517843264425130590, 04/10/2016 06:14, Instagram, Instagram - one.co.il, shakedb1936, https://www.instagram.com/p/BLJk4ZshRCr, @nadav0903 בתקופת הנאצים כשהחיילים של היטלר ימח שמו ושם זכרו היו צועדים,1
 5957687391309510154698339844131, 28/09/2016 06:40, facebook, FaceBook - Dario Paran, Dario Paran, http://www.facebook.com/permalink.php?story_fbid=10154698339844131&id=768739130, סיור של מחבלי חיזבאלה עלה על מוקש בגבול ישראל לבנון מחבל חיזבאלה נפצע קשה ימח שמו,1
 59514370733859510211453576081872, 30/09/2016 08:24, facebook, FaceBook - Dudu Biton, Dudu Biton, http://www.facebook.com/permalink.php?story_fbid=10211453576081872&id=1437073385, אייכמן עודה   אתם השתוללתם באוקטובר ... ימח שמך ומי שזימן אותך,3
 19519150495784364602398216192, 07/10/2016 03:07, twitter, twitter, shai, http://twitter.com/The_MRI/statuses/784364602398216192, RT @AnnaLiMg: ליצ'י שרט אותי כהוגן יימח שמו ושם זכרו,3
 19519150495784080571949391873, 06/10/2016 08:19, twitter, twitter, פבלוב דוד, http://twitter.com/baruchpavlov961/statuses/784080571949391873, @amirayelet אלא טרוריסטים מוסלמים טרוריסטים ימח שמם ויאבד זכרם שימותו עכשיו אמן כן יהי רצון,3
 395498280383952253948, 07/10/2016 12:00, TB, ערוץ 7 - INN SITE, דוד, http://www.inn.co.il/News/News.aspx/331529, ימח שמו של העיתון ועורכיו המעוותים. שיימחו מעל פני האדמה!-,3
 19519150495785042799838236672, 09/10/2016 12:02, twitter, twitter, ברוך פבלוב, http://twitter.com/NJefL1pJeXAZ3s2/statuses/785042799838236672, מחבל טרוריסט ערבי פלסטיני טרוריסט ימח שמו ויאבד זכרו שעשה פיגוע טרור ערבי פלסטיני,3
 19519150495785044404386037760, 09/10/2016 12:09, twitter, twitter, ברוך פבלוב, http://twitter.com/NJefL1pJeXAZ3s2/statuses/785044404386037760, 10 טרוריסטים ערבים פלסטינים טרוריסטים ימח שמם ויאבד זכרם שימותו עכשיו אמן כן יהי רצון,3
 19519150495785044901079678976, 09/10/2016 12:11, twitter, twitter, ברוך פבלוב, http://twitter.com/NJefL1pJeXAZ3s2/statuses/785044901079678976, לטרוריסטים הערבים הפלסטינים חמאס שהם טרוריסטים ימח שמם ויאבד זכרם שימותו עכשיו אמן כן יהי רצון,3
 19519150495785043252563107840, 09/10/2016 12:04, twitter, twitter, ברוך פבלוב, http://twitter.com/NJefL1pJeXAZ3s2/statuses/785043252563107840, טרוריסטים ערבים פלסטינים טרוריסטים ימח שמם ויאבד זכרם שימותו עכשיו אמן כן יהי רצון,3
 595100000477986766951591206577571926, 06/10/2016 12:11, facebook, FaceBook - לימור צעדי, לימור צעדי, http://www.facebook.com/permalink.php?story_fbid=1591206577571926&id=100000477986766, תלך כפרה גם על הזבובים והנמלים ימח שמך......,3
 19519150495785219211857539072, 09/10/2016 11:43, twitter, twitter, ברוך קלמן, http://twitter.com/baruchpavlov/statuses/785219211857539072, @ReshetBet 15 טרוריסטים ערבים פלסטינים ימח שמם ויאבד זכרם שימותו עכשיו אמן כן יהי רצון,3
 795z12idvpgnsi1u3ulm234c1rbowjwe5y3k, 08/10/2016 08:11, Youtube, youtube, גווני קארלוס, https://www.youtube.com/watch?v=7AePp7PsH84, אמנון כופר רשע אמיתי ימח שמו ויחד שופר הפסול הגזול חילוני ממש שד אייפוני,3
 19519150495785047394241114112, 09/10/2016 12:20, twitter, twitter, ברוך פבלוב, http://twitter.com/NJefL1pJeXAZ3s2/statuses/785047394241114112, @ariel_livne בתמונה הטרוריסט הערבי הפלסטיני הטרוריסט ימח שמו ויאבד זכרו,3
 19519150495785107428773879810, 09/10/2016 04:19, twitter, twitter, מבזקי חדשות 24, http://twitter.com/Mivzak24/statuses/785107428773879810, הפלס' ברצועה חוגגים את מותם של הנרצחים הישראלים בפיגוע הירי בשעות הבוקר ימח שמם.,3
 19519150495785084238798413824, 09/10/2016 02:47, twitter, twitter, קלמן פבלוב, http://twitter.com/GDswzgiiNFwnwP1/statuses/785084238798413824, @israelconnect 2 יהודים נשחטו נרצחו על ידי טרוריסט ערבי פלסטיני טרוריסט ימח שמו ויאבד זכרו,3
 119517863868002046187, 09/10/2016 12:48, Instagram, Instagram - the_jewish_idea, abrahm_weiss, https://www.instagram.com/p/BLViekzDS5j, מוות לערבים ולשמאלנים והתקשורת ימח שמו וזכרם יומת בקרוב ממש יהודים דורשים נקמה,3
 19519150495785070290858573824, 09/10/2016 01:51, twitter, twitter, קלמן פבלוב, http://twitter.com/GDswzgiiNFwnwP1/statuses/785070290858573824, @TheNewsAlerts של טרוריסטים ערבים פלסטינים ימח שמם ויאבד זכרם שימותו עכשיו אמן כן יהי רצון,3
 19519150495785045368396509184, 09/10/2016 12:12, twitter, twitter, ברוך פבלוב, http://twitter.com/NJefL1pJeXAZ3s2/statuses/785045368396509184, אלה טרוריסטים ערבים פלסטינים טרוריסטים ימח שמם ויאבד זכרם שימותו עכשיו אמן כן יהי רצון,3
 19519150495785188951178960897, 09/10/2016 09:43, twitter, twitter, פבלוב דוד, http://twitter.com/baruchpavlov961/statuses/785188951178960897, @RotterNet טרוריסטים ערבים פלסטינים ימח שמם ויאבד זכרם שימותו עכשיו אמן כן יהי רצון זרקו,3
 19519150495785150494016544768, 09/10/2016 07:10, twitter, twitter, פבלוב דוד, http://twitter.com/baruchpavlov961/statuses/785150494016544768, טרוריסט ערבי ימח שמו ויאבד זכרו https://t.co/Bp8PtDWrPA,3
 795z12ec32j4makfdjy004chx2jstvtdbqr5y40k, 10/10/2016 03:55, Youtube, youtube, ניסים סבג, https://www.youtube.com/watch?v=7AePp7PsH84, יזבל זה מה שאתה אומר <br />ימח שמך חכה חכה המשפט קרוב,3
 595100000686165698951317960061570187, 29/09/2016 03:17, facebook, FaceBook - משה מימון, Moshe Mymon, http://www.facebook.com/permalink.php?story_fbid=1317960061570187&id=100000686165698, אתמול בלילה יתוש אחד עקץ אותי יימח שמו   מכר לי אייפון 4 ב 900 שקל....,1
 19519150495780430663606558720, 26/09/2016 06:35, twitter, twitter, פבלוב דוד, http://twitter.com/baruchpavlov961/statuses/780430663606558720, @ShehabAgency אלה טרוריסטים ערבים פלסטינים טרוריסטים ימח שמם ויאבד זכרם שימותו עכשיו אמן כן יהי רצון,3
 19519150495780709682256220160, 27/09/2016 01:04, twitter, twitter, ברוך פבלוב, http://twitter.com/NJefL1pJeXAZ3s2/statuses/780709682256220160, @yael_arava הטרוריסט הערבי הפלסטיני הטרוריסט ימח שמו ויאבד זכרו שהתפגר ומת ברוך השם ברוך השם,3
 19519150495780558382977523712, 27/09/2016 03:03, twitter, twitter, פבלוב דוד, http://twitter.com/baruchpavlov961/statuses/780558382977523712, טרוריסט מוסלמי ימח שמו ויאבד זכרו שימות עכשיו אמן כן יהי רצון https://t.co/3iOecpqGWc,3
 59511325755202968995105828466549818, 29/09/2016 03:59, facebook, FaceBook - Israel Police - משטרת ישראל, אשר יקו, http://www.facebook.com/permalink.php?story_fbid=105828466549818&id=113257552029689, עכשיו כל מנהיגי העולם ישתתפו בפסטיבל הנקרופילי ויתקעו את גופתו הטמאה של שמעון פרסקי ימח שמו ושם זכרו,3
 19519150495783950369873358848, 06/10/2016 11:41, twitter, twitter, ברוך פבלוב, http://twitter.com/NJefL1pJeXAZ3s2/statuses/783950369873358848, אלה טרוריסטים ערבים ימח שמם ויאבד זכרם שימותו עכשיו אמן כן יהי רצון https://t.co/hQ71GTiOM2,3
 595100000538595377951350326251661982, 27/09/2016 06:34, facebook, FaceBook - Rahamim Saban, Rahamim Saban, http://www.facebook.com/permalink.php?story_fbid=1350326251661982&id=100000538595377, הבבניין הלבן היכן שאנשי האצל היו בזמן המנדט וחלק ברחו וחלק הועלו לגרדום עי הבריטים ימח שמם,1
 19519150495784946718777442304, 09/10/2016 05:40, twitter, twitter, ברוך פבלוב, http://twitter.com/NJefL1pJeXAZ3s2/statuses/784946718777442304, @KarenLHaber הוא חיסל טרוריסט ערבי פלסטיני טרוריסט ימח שמו ויאבד זכרו שביצע פיגוע טרור ערבי פלסטיני,3
 3954993085659562, 09/10/2016 11:01, TB, YNET - עמוד הבית, אליהו הנביא, http://www.ynet.co.il/articles/0%2c7340%2cL-4864509%2c00.html, יימח שמם גם לפני כיפור עושים פיגועים.. שאלוהים ידון אותם-למוות. אמן!! י,3
 19519150495785042954075398144, 09/10/2016 12:03, twitter, twitter, ברוך פבלוב, http://twitter.com/NJefL1pJeXAZ3s2/statuses/785042954075398144, @Channel2News מחבל טרוריסט ערבי פלסטיני טרוריסט ימח שמו ויאבד זכרו שהתפגר ומת אחרי שביצע פיגוע טרור ערבי פלסטיני,3
 19519150495785188260188332036, 09/10/2016 09:40, twitter, twitter, פבלוב דוד, http://twitter.com/baruchpavlov961/statuses/785188260188332036, טרוריסט ערבי ימח שמו ויאבד זכרו שימות עכשיו אמן כן יהי רצון https://t.co/Ibzy35Yn8B,3
 19519150495785056847229255680, 09/10/2016 12:58, twitter, twitter, קלמן פבלוב, http://twitter.com/GDswzgiiNFwnwP1/statuses/785056847229255680, @galberger אלה הטרוריסטים הערבים הפלסטינים חמאס הטרוריסטים ימח שמם ויאבד זכרם שימותו עכשיו אמן כן יהי רצון,3
 19519150495785076335936958465, 09/10/2016 02:15, twitter, twitter, קלמן פבלוב, http://twitter.com/GDswzgiiNFwnwP1/statuses/785076335936958465, @issacharoff כי הם טרוריסטים ערבים פלסטינים ימח שמם ויאבד זכרם שימותו עכשיו אמן כן יהי רצון,3
 19519150495785082301801725953, 09/10/2016 02:39, twitter, twitter, קלמן פבלוב, http://twitter.com/GDswzgiiNFwnwP1/statuses/785082301801725953, טרוריסט ערבי ימח שמו ויאבד זכרו שימות עכשיו אמן כן יהי רצון https://t.co/Tov0FbIQbs,3
 395499306966952254293, 09/10/2016 12:00, TB, ערוץ 7 - INN SITE, אבישי, http://www.inn.co.il/News/News.aspx/331575, מוסלמים חלאות-איפה שיש ערבים יש רק רצח ללא כל סיבה ימח שמם הם כמו מחלה שאי אפשר להילחם בה,3
3.95499E+14, 09/10/2016 01:53, TB, Ynet - חדשות,unkown, http://www.ynet.co.il/articles/0%2c7340%2cL-4864622%2c00.html, ימח שמו -הכי מרגיז שהוא קיבל הגנה משפטית על חשבון משלמי המיסים  היה צריך לנעול אותו מזמן.,3
 19519150495785097492056670209, 09/10/2016 03:40, twitter, twitter, קלמן פבלוב, http://twitter.com/GDswzgiiNFwnwP1/statuses/785097492056670209, @israellive_news אלה טרוריסטים ערבים פלסטינים טרוריסטים ימח שמם ויאבד זכרם שימותו עכשיו אמן כן יהי רצון,3
 119517863840369038715, 09/10/2016 12:50, Instagram, Instagram - koolanookahana, abrahm_weiss, https://www.instagram.com/p/BLVmhHYB5k-, מוות למחבלים לערבים ולשמאלנים והתקשורת ימח שמו וזכרם יומת בקרוב ממש יהודים דורשים נקמה לשחרר אלאור אזריה,3
 19519150495785067485720670208, 09/10/2016 01:40, twitter, twitter, קלמן פבלוב, http://twitter.com/GDswzgiiNFwnwP1/statuses/785067485720670208, @RotterNews אלה טרוריסטים ערבים פלסטינים חמאס הטרוריסטים ימח שמם ויאבד זכרם שימותו עכשיו אמן כן יהי רצון,3
 19519150495785066153081180164, 09/10/2016 01:35, twitter, twitter, קלמן פבלוב, http://twitter.com/GDswzgiiNFwnwP1/statuses/785066153081180164, @egalvr5177 כי הם טרוריסטים ערבים פלסטינים ימח שמם ויאבד זכרם שימותו עכשיו אמן כן יהי רצון,3
 19519150495785045522688176128, 09/10/2016 12:13, twitter, twitter, ברוך פבלוב, http://twitter.com/NJefL1pJeXAZ3s2/statuses/785045522688176128, טרוריסטים ערבים ימח שמם ויאבד זכרם שימותו עכשיו אמן כן יהי רצון https://t.co/jbLVCzD4R0,3
 19519150495782358932341809152, 02/10/2016 02:17, twitter, twitter, ברוך קלמן, http://twitter.com/baruchpavlov/statuses/782358932341809152, @hotnews9191 בגלל שטרוריסטים ערבים ימח שמם ויאבד זכרם שימותו עכשיו אמן כן יהי רצון השליכו אבנים על חיילים יהודים יקרים שיחיו,3
 19519150495782513078835539969, 02/10/2016 12:30, twitter, twitter, ENDORA, http://twitter.com/Vitaliko/statuses/782513078835539969, בהסכמי אוסלו הארורים אותו בחשו פרס ומקורביו מאחורי גבו של רבין  הביאו הללו לארצנו את הארכי רוצח ערפאת יימח שמו וכנופיותיו,1
 19519150495782300311079837697, 01/10/2016 10:25, twitter, twitter, פבלוב דוד, http://twitter.com/baruchpavlov961/statuses/782300311079837697, בגלל טרוריסטים ערבים פלסטינים טרוריסטים ימח שמם ויאבד זכרם שימותו עכשיו אמן כן יהי רצון https://t.co/GOYK7jmOjG,3
 5951432383893640056951777965439081898, 04/10/2016 06:12, facebook, FaceBook - חדשות - השואגים לימין, חדשות השואגים לימין, http://www.facebook.com/permalink.php?story_fbid=1777965439081898&id=1432383893640056, על פי מספר דיווחים כפי הנראה דאעש ימח שמם  שחררו סרטון חדש בו נראית עריפת ראשים המונית  של המורדים בסוריה.,1
 19519150495780466804011347968, 26/09/2016 08:59, twitter, twitter, פבלוב דוד, http://twitter.com/baruchpavlov961/statuses/780466804011347968, בתמונה אלה טרוריסטים ערבים פלסטינים טרוריסטים ימח שמם ויאבד זכרם שימותו עכשיו אמן כן יהי רצון כך לפי שרוצים לשחוט ת https://t.co/WbiFXHcrK8,3
 19519150495780555003794632704, 27/09/2016 02:49, twitter, twitter, פבלוב דוד, http://twitter.com/baruchpavlov961/statuses/780555003794632704, ברוך השם ברוך השם שעוד טרוריסט ערבי פלסטיני טרוריסט ימח שמו ויאבד זכרו התפגר ומת ברוך השם ברוך השם https://t.co/nv3Ls50QOK,3
 29516651295169518425, 27/09/2016 11:21, forum, fxp-לימודי נהיגה ותאוריה, Michael28898, http://www.fxp.co.il/showthread.php?t=17654185&p=169518425#post169518425, טסט ראשון בירושלים היום בבוקר-ואו איזה הזייה!! כנראה כשאתה רע לטסטר הוא מתרכך.. יכול להיות שזה היה אילן גנון ימאח שמו??,1
 595946994072047452951124723704274487, 07/10/2016 06:39, facebook, FaceBook - ממים של להטבפאק, Roei Galnor, http://www.facebook.com/permalink.php?story_fbid=1124723704274487&id=946994072047452, עוד לקראת הסרט בשבת - הנה מה שאסי עזר *באמת* היה צריך להגיד לבנצי גופשטיין (ימח שמו וזכרונו),3
 29516652295169779667, 05/10/2016 11:12, forum, fxp-אספנות ועתיקות, ncnc6, http://www.fxp.co.il/showthread.php?t=17496067&p=169779667#post169779667, מכתב אספנות הנשיא סאדאת בישראל- פורסם במקור על ידי ford110אני הייתי שם אבל לא במרתף ימח שמם זה שלנושמעתי שהמקום מוצף שומרים כמו בסרטים זה נכון?,1
 3954971775069525461, 05/10/2016 11:06, TB, YNET - עמוד הבית,unkown, http://www.ynet.co.il/articles/0%2c7340%2cL-4862353%2c00.html, בן 87  כבר לא מלמד כלום  ואני מעריך שמחתלים אותו 2-3 פעמים-ביום. ימח שמו!,3
 29516663995169741601, 04/10/2016 11:06, forum, fxp-מכבי חיפה, NorthBlock, http://www.fxp.co.il/showthread.php?t=17674696&p=169741601#post169741601, לוגו למשחק הקרוב (רחוק)- פורסם במקור על ידי GuardiaNNאיזה צהוב מדובר?של הגרמנים נאצים יימח שמם שכולם יקבלו שם סרטן?,1
 29516663995169741743, 04/10/2016 11:09, forum, fxp-מכבי חיפה, GuardiaNN, http://www.fxp.co.il/showthread.php?t=17674696&p=169741743#post169741743, לוגו למשחק הקרוב (רחוק)- פורסם במקור על ידי NorthBlockשל הגרמנים נאצים יימח שמם שכולם יקבלו שם סרטן?זה צריך להיות אובייקטיבי באיזשהי צורה.,1
 19519150495783734058266288128, 05/10/2016 09:22, twitter, twitter, Michael Rabin, http://twitter.com/MichaelRabin91/statuses/783734058266288128, @Shlomixg @kaduregelshefel @robert_rabin @frak001 בין היתר (רק בלי אזרחות יימח שמם  כאילו 6 שנים בדרעק הזה לא מספיק),1
 19519150495784915923144679425, 09/10/2016 03:38, twitter, twitter, יוני, http://twitter.com/zeevbarim/statuses/784915923144679425, @PninaKatz לא איש פוליטי. ימח שמך. תומכת של זועבי אבל לא פוליטית. נקווה שהערבי שישרוף אותך חייה גם לא יהיה פוליטי.,3
 19519150495784921257691213824, 09/10/2016 03:59, twitter, twitter, יוני, http://twitter.com/zeevbarim/statuses/784921257691213824, @MeravMichaeli סבא שלך ימח שמו שיתף פעולה עם הנאצים  ואת משתפת פעולה עם ממשיכיהם  הפלסטינאצים.משפחה ארורה.,3
 29515497955238921, 09/10/2016 09:10, forum, carsforum-רכבי אספנות, YONA777, http://www.carsforum.co.il/vb/showthread.php?613884-הצילו-גנבו-לי-את-המיני-האאאאאאאאאאא&p=5238921&viewfull=1#post5238921, בעניין: הצילו גנבו לי את המיני  האאאאאאאאאאא-WOWיש מצלמות באיזור?? אולי תוכל לעלות על מס' הגררבאסה אמיתית  ימח שמם של הגנבים הארורים,1
 19519150495785277520140767236, 10/10/2016 03:35, twitter, twitter, Judy Mozes, http://twitter.com/JudyMozes/statuses/785277520140767236, מנסה להשאר ערה מקוה שהילרי תשפיל את  הבושה האמריקאית שדעותיו מזכירות את אלו של הסוטה האכזר ימח שמו מגרמניה גמאם אינו מתמקד דווקא בנו.,1
 19519150495785088767476568064, 09/10/2016 03:05, twitter, twitter, קלמן פבלוב, http://twitter.com/GDswzgiiNFwnwP1/statuses/785088767476568064, @l_daphna טיבי היה היועץ של הארכי טרוריסט ערבי פלסטיני ערפת ימח שמו ויאבד זכרו שידיו היו מלאות בדם של תינוקות יהודים ויהודים מבוגרים אז,3
 19519150495785099300586024960, 09/10/2016 03:47, twitter, twitter, קלמן פבלוב, http://twitter.com/GDswzgiiNFwnwP1/statuses/785099300586024960, @Ahmad_tibi @Channel2News אין לך זכות להתלונן אתה היית היועץ של הארכי טרוריסט ערבי פלסטיני ערפת הטרוריסט ימח שמו ויאבד זכרו שידיו היו מלאות,3
 19519150495785101124407812096, 09/10/2016 03:54, twitter, twitter, קלמן פבלוב, http://twitter.com/GDswzgiiNFwnwP1/statuses/785101124407812096, @ReutMor @Hadash_org @l_daphna @giladhn ככה לא יצטרכו לשמוע את אלה שתומכים בטרוריסטים ערבים פלסטינים טרוריסטים ימח שמם ויאבד זכרם שימותו,1
 19519150495785122755754729472, 09/10/2016 05:20, twitter, twitter, Apache, http://twitter.com/israeli_apache/statuses/785122755754729472, מאחל לטינופות שבתמונה את כל הרע שבעולם  ימח שמם וזכרם מעל פני האדמה https://t.co/Lp8OTCEu1y,3
 19519150495785129862373793792, 09/10/2016 05:48, twitter, twitter, Abraham Weiss, http://twitter.com/AbrahamWeiss3/statuses/785129862373793792, בהמה גסה שמלני ימח שמו וזכרם יומת בקרוב ממש יהודים דורשים נקמה לשחרר אלאור אזריה https://t.co/FpFYEQnzja,3
 395499436922952254360, 09/10/2016 12:00, TB, ערוץ 7 - INN SITE, דנה, http://www.inn.co.il/News/News.aspx/331613, משטרת ישמעאל-אם זה היה הפוך ויהודים היו כותבים נאצה לערבי שנרצח הם היו מייד נעצרים נחקרים ונכלאים. לערבים מחבלים ימח שמם מותר הכל,1
 19519150495785107579622027264, 09/10/2016 04:20, twitter, twitter, מבזקי חדשות 24, http://twitter.com/Mivzak24/statuses/785107579622027264, הפלס' ברצועה חוגגים את מותם של הנרצחים הישראלים בפיגוע הירי בשעות הבוקר ימח שמם. https://t.co/HJ4SqbOlwk,1
 19519150495785087220134871040, 09/10/2016 02:59, twitter, twitter, קלמן פבלוב, http://twitter.com/GDswzgiiNFwnwP1/statuses/785087220134871040, @yarivop @Ronel_Adani הוא טרוריסט ערבי פלסטיני טרוריסט ימח שמו ויאבד זכרו שהתפגר ומת אחרי ששחט רצח 2 יהודים בדם קר בפיגוע טרור ערבי פלסטיני,3
